YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE|
6212|80|จังหวัดนครศรีธรรมราช |0| |0| |0| |771,735|790,192|1,561,927|573,215|
6212|81|จังหวัดกระบี่ |0| |0| |0| |236,790|239,949|476,739|189,510|
6212|82|จังหวัดพังงา |0| |0| |0| |134,192|134,596|268,788|116,485|
6212|83|จังหวัดภูเก็ต |0| |0| |0| |197,036|219,546|416,582|266,093|
6212|84|จังหวัดสุราษฎร์ธานี |0| |0| |0| |526,693|541,317|1,068,010|503,053|
6212|85|จังหวัดระนอง |0| |0| |0| |97,756|95,614|193,370|91,119|
6212|86|จังหวัดชุมพร |0| |0| |0| |252,854|258,450|511,304|236,156|
6212|90|จังหวัดสงขลา |0| |0| |0| |700,441|735,527|1,435,968|543,879|
6212|91|จังหวัดสตูล |0| |0| |0| |160,926|162,660|323,586|104,281|
6212|92|จังหวัดตรัง |0| |0| |0| |314,793|328,371|643,164|231,924|
6212|93|จังหวัดพัทลุง |0| |0| |0| |255,838|269,027|524,865|194,209|
6212|94|จังหวัดปัตตานี |0| |0| |0| |358,661|366,443|725,104|191,409|
6212|95|จังหวัดยะลา |0| |0| |0| |266,860|269,470|536,330|167,137|
6212|96|จังหวัดนราธิวาส |0| |0| |0| |400,017|408,003|808,020|215,728|
6112|0|ทั่วประเทศ|0| |0| |0| |32,556,271|33,857,708|66,413,979|26,208,994|
6112|10|กรุงเทพมหานคร|0| |0| |0| |2,679,453|2,997,195|5,676,648|2,959,524|
6112|11|จังหวัดสมุทรปราการ |0| |0| |0| |634,679|691,929|1,326,608|675,382|
6112|12|จังหวัดนนทบุรี |0| |0| |0| |581,620|664,675|1,246,295|689,035|
6112|13|จังหวัดปทุมธานี |0| |0| |0| |543,652|602,440|1,146,092|603,834|
6112|14|จังหวัดพระนครศรีอยุธยา |0| |0| |0| |393,570|423,871|817,441|322,991|
6112|15|จังหวัดอ่างทอง |0| |0| |0| |134,592|146,248|280,840|98,712|
6112|16|จังหวัดลพบุรี |0| |0| |0| |381,080|377,653|758,733|291,987|
6112|17|จังหวัดสิงห์บุรี |0| |0| |0| |99,673|109,704|209,377|76,624|
6112|18|จังหวัดชัยนาท |0| |0| |0| |157,944|170,319|328,263|123,644|
6112|19|จังหวัดสระบุรี |0| |0| |0| |318,128|326,896|645,024|271,731|
6112|20|จังหวัดชลบุรี |0| |0| |0| |751,779|783,666|1,535,445|1,016,806|
6112|21|จังหวัดระยอง |0| |0| |0| |355,539|367,777|723,316|473,597|
6112|22|จังหวัดจันทบุรี |0| |0| |0| |262,645|273,851|536,496|235,252|
6112|23|จังหวัดตราด |0| |0| |0| |114,097|115,817|229,914|105,231|
6112|24|จังหวัดฉะเชิงเทรา |0| |0| |0| |350,690|364,319|715,009|297,362|
6112|25|จังหวัดปราจีนบุรี |0| |0| |0| |243,655|247,985|491,640|208,248|
6112|26|จังหวัดนครนายก |0| |0| |0| |128,593|131,500|260,093|97,550|
6112|27|จังหวัดสระแก้ว |0| |0| |0| |282,426|281,666|564,092|208,813|
6112|30|จังหวัดนครราชสีมา |0| |0| |0| |1,303,951|1,342,450|2,646,401|965,320|
6112|31|จังหวัดบุรีรัมย์ |0| |0| |0| |793,433|801,417|1,594,850|461,821|
6112|32|จังหวัดสุรินทร์ |0| |0| |0| |697,169|700,688|1,397,857|392,526|
